stock weight,bond weight,real estate weight,Sharpe All,Sharpe 0,Sharpe 1,Sharpe 2,Sharpe,std Sharpe
0.01,0.06,0.93,1.706,1.421,0.852,1.922,1.4,0.44
0.01,0.07,0.92,1.665,1.406,0.85,1.903,1.39,0.43
0.01,0.08,0.91,1.624,1.39,0.848,1.882,1.37,0.42
0.01,0.09,0.9,1.5830000000000002,1.3719999999999999,0.846,1.858,1.36,0.41
0.01,0.1,0.89,1.5430000000000001,1.354,0.845,1.8330000000000002,1.34,0.4
0.01,0.11,0.88,1.5030000000000001,1.334,0.843,1.806,1.33,0.39
0.01,0.12,0.87,1.464,1.3130000000000002,0.8420000000000001,1.778,1.31,0.38
0.01,0.13,0.86,1.426,1.2919999999999998,0.84,1.749,1.29,0.37
0.01,0.14,0.85,1.3880000000000001,1.2690000000000001,0.838,1.72,1.28,0.36
0.01,0.15,0.84,1.351,1.246,0.836,1.69,1.26,0.35
0.01,0.16,0.83,1.315,1.2229999999999999,0.8340000000000001,1.66,1.24,0.34
0.01,0.17,0.82,1.28,1.199,0.8320000000000001,1.631,1.22,0.33
0.01,0.18,0.81,1.245,1.175,0.83,1.601,1.2,0.32
0.01,0.19,0.8,1.2109999999999999,1.15,0.8270000000000001,1.571,1.18,0.3
0.01,0.2,0.79,1.178,1.126,0.825,1.5419999999999998,1.16,0.29
0.01,0.21,0.78,1.145,1.101,0.8220000000000001,1.5130000000000001,1.15,0.28
0.01,0.22,0.77,1.113,1.0759999999999998,0.8190000000000001,1.485,1.13,0.27
0.01,0.23,0.76,1.082,1.051,0.816,1.4569999999999999,1.11,0.26
0.01,0.24,0.75,1.051,1.026,0.813,1.43,1.09,0.26
0.01,0.25,0.74,1.021,1.001,0.809,1.403,1.07,0.25
0.01,0.26,0.73,0.991,0.976,0.8059999999999999,1.376,1.05,0.24
0.01,0.27,0.72,0.963,0.951,0.8029999999999999,1.351,1.03,0.23
0.01,0.28,0.71,0.934,0.927,0.8,1.325,1.02,0.22
0.01,0.29,0.7,0.907,0.902,0.7959999999999999,1.3,1.0,0.22
0.01,0.3,0.69,0.879,0.878,0.7929999999999999,1.276,0.98,0.21
0.01,0.31,0.68,0.853,0.8540000000000001,0.789,1.252,0.97,0.2
0.01,0.32,0.67,0.8270000000000001,0.83,0.7859999999999999,1.229,0.95,0.2
0.01,0.33,0.66,0.8009999999999999,0.8059999999999999,0.7829999999999999,1.206,0.93,0.19
0.01,0.34,0.65,0.7759999999999999,0.7829999999999999,0.779,1.1840000000000002,0.92,0.19
0.01,0.35,0.64,0.752,0.759,0.7759999999999999,1.162,0.9,0.19
0.01,0.36,0.63,0.728,0.736,0.772,1.141,0.88,0.18
0.01,0.37,0.62,0.7040000000000001,0.7140000000000001,0.769,1.12,0.87,0.18
0.01,0.38,0.61,0.6809999999999999,0.691,0.7659999999999999,1.099,0.85,0.18
0.01,0.39,0.6,0.659,0.669,0.763,1.079,0.84,0.18
0.01,0.4,0.59,0.637,0.647,0.76,1.06,0.82,0.17
0.01,0.41,0.58,0.615,0.625,0.7559999999999999,1.041,0.81,0.17
0.01,0.42,0.57,0.594,0.604,0.753,1.022,0.79,0.17
0.01,0.43,0.56,0.573,0.5820000000000001,0.75,1.003,0.78,0.17
0.01,0.44,0.55,0.5529999999999999,0.561,0.747,0.985,0.76,0.17
0.01,0.45,0.54,0.5329999999999999,0.541,0.7440000000000001,0.9670000000000001,0.75,0.17
0.01,0.46,0.53,0.513,0.52,0.742,0.95,0.74,0.18
0.01,0.47,0.52,0.494,0.5,0.7390000000000001,0.9329999999999999,0.72,0.18
0.01,0.48,0.51,0.475,0.479,0.736,0.9159999999999999,0.71,0.18
0.01,0.51,0.48,0.42100000000000004,0.42,0.728,0.868,0.67,0.19
0.01,0.52,0.47,0.40299999999999997,0.401,0.726,0.852,0.66,0.19
0.01,0.53,0.46,0.386,0.382,0.723,0.8370000000000001,0.65,0.19
0.01,0.54,0.45,0.37,0.363,0.721,0.8220000000000001,0.64,0.2
0.01,0.55,0.44,0.353,0.344,0.718,0.807,0.62,0.2
0.01,0.56,0.43,0.337,0.326,0.716,0.792,0.61,0.2
0.01,0.57,0.42,0.321,0.307,0.7140000000000001,0.778,0.6,0.21
0.01,0.58,0.41,0.305,0.289,0.711,0.764,0.59,0.21
0.01,0.59,0.4,0.29,0.271,0.7090000000000001,0.75,0.58,0.22
0.01,0.6,0.39,0.275,0.253,0.7070000000000001,0.736,0.57,0.22
0.01,0.61,0.38,0.26,0.235,0.705,0.723,0.55,0.23
0.01,0.62,0.37,0.24600000000000002,0.218,0.703,0.71,0.54,0.23
0.01,0.63,0.36,0.23199999999999998,0.2,0.701,0.6970000000000001,0.53,0.24
0.01,0.64,0.35,0.218,0.183,0.6990000000000001,0.684,0.52,0.24
0.01,0.65,0.34,0.204,0.166,0.6970000000000001,0.6709999999999999,0.51,0.24
0.01,0.66,0.33,0.191,0.149,0.695,0.659,0.5,0.25
0.01,0.67,0.32,0.17800000000000002,0.132,0.693,0.6459999999999999,0.49,0.25
0.01,0.68,0.31,0.165,0.11599999999999999,0.6920000000000001,0.634,0.48,0.26
0.01,0.69,0.3,0.152,0.099,0.69,0.622,0.47,0.26
0.01,0.7,0.29,0.14,0.083,0.688,0.61,0.46,0.27
0.01,0.71,0.28,0.128,0.067,0.6859999999999999,0.599,0.45,0.27
0.01,0.72,0.27,0.11599999999999999,0.051,0.685,0.5870000000000001,0.44,0.28
0.01,0.73,0.26,0.105,0.035,0.6829999999999999,0.5760000000000001,0.43,0.28
0.01,0.74,0.25,0.09300000000000001,0.02,0.6809999999999999,0.565,0.42,0.29
0.01,0.75,0.24,0.08199999999999999,0.004,0.68,0.5539999999999999,0.41,0.29
0.01,0.76,0.23,0.071,-0.011000000000000001,0.6779999999999999,0.5429999999999999,0.4,0.3
0.01,0.77,0.22,0.061,-0.026000000000000002,0.6759999999999999,0.532,0.39,0.3
0.01,0.78,0.21,0.05,-0.040999999999999995,0.675,0.522,0.39,0.31
0.01,0.79,0.2,0.04,-0.055,0.6729999999999999,0.511,0.38,0.31
0.01,0.8,0.19,0.031,-0.07,0.6709999999999999,0.501,0.37,0.32
0.01,0.81,0.18,0.021,-0.084,0.669,0.491,0.36,0.32
0.01,0.82,0.17,0.012,-0.098,0.6679999999999999,0.48100000000000004,0.35,0.33
0.01,0.83,0.16,0.002,-0.11199999999999999,0.6659999999999999,0.47100000000000003,0.34,0.33
0.01,0.84,0.15,-0.006999999999999999,-0.125,0.664,0.462,0.33,0.33
0.01,0.85,0.14,-0.015,-0.138,0.662,0.452,0.33,0.34
0.01,0.86,0.13,-0.024,-0.151,0.66,0.44299999999999995,0.32,0.34
0.01,0.87,0.12,-0.032,-0.16399999999999998,0.6579999999999999,0.433,0.31,0.35
0.01,0.88,0.11,-0.04,-0.17600000000000002,0.6559999999999999,0.424,0.3,0.35
0.01,0.89,0.1,-0.049,-0.188,0.654,0.415,0.29,0.35
0.01,0.9,0.09,-0.057,-0.2,0.652,0.406,0.29,0.36
0.01,0.91,0.08,-0.064,-0.21100000000000002,0.65,0.39799999999999996,0.28,0.36
0.01,0.92,0.07,-0.07200000000000001,-0.223,0.647,0.389,0.27,0.36
0.01,0.93,0.06,-0.08,-0.233,0.645,0.381,0.26,0.37
0.01,0.94,0.05,-0.08800000000000001,-0.244,0.642,0.37200000000000005,0.26,0.37
0.01,0.95,0.04,-0.096,-0.254,0.64,0.364,0.25,0.37
0.01,0.96,0.03,-0.10400000000000001,-0.263,0.637,0.35600000000000004,0.24,0.38
0.01,0.97,0.02,-0.11199999999999999,-0.273,0.634,0.348,0.24,0.38
0.01,0.98,0.01,-0.12,-0.282,0.631,0.341,0.23,0.38
0.01,0.99,0.0,-0.129,-0.29100000000000004,0.628,0.33299999999999996,0.22,0.38
0.02,0.0,0.98,1.844,1.469,0.7829999999999999,2.006,1.42,0.5
0.02,0.01,0.97,1.83,1.464,0.7909999999999999,2.012,1.42,0.5
0.02,0.02,0.96,1.8090000000000002,1.4569999999999999,0.7959999999999999,2.013,1.42,0.5
0.02,0.03,0.95,1.7830000000000001,1.4480000000000002,0.7979999999999999,2.01,1.42,0.5
0.02,0.04,0.94,1.7530000000000001,1.4380000000000002,0.7979999999999999,2.002,1.41,0.49
0.02,0.05,0.93,1.719,1.426,0.7979999999999999,1.99,1.4,0.49
0.02,0.06,0.92,1.683,1.413,0.797,1.975,1.4,0.48
0.02,0.07,0.91,1.646,1.3980000000000001,0.7959999999999999,1.9569999999999999,1.38,0.47
0.02,0.08,0.9,1.607,1.381,0.795,1.935,1.37,0.47
0.02,0.09,0.89,1.569,1.364,0.794,1.912,1.36,0.46
0.02,0.1,0.88,1.53,1.345,0.7929999999999999,1.886,1.34,0.45
0.02,0.11,0.87,1.492,1.325,0.792,1.859,1.33,0.44
0.02,0.12,0.86,1.455,1.304,0.7909999999999999,1.831,1.31,0.42
0.02,0.13,0.85,1.4180000000000001,1.2830000000000001,0.789,1.8019999999999998,1.29,0.41
0.02,0.14,0.84,1.381,1.26,0.7879999999999999,1.7719999999999998,1.27,0.4
0.02,0.15,0.83,1.3459999999999999,1.237,0.7859999999999999,1.742,1.26,0.39
0.02,0.16,0.82,1.31,1.214,0.784,1.712,1.24,0.38
0.02,0.17,0.81,1.276,1.19,0.782,1.681,1.22,0.37
0.02,0.18,0.8,1.242,1.165,0.78,1.651,1.2,0.36
0.02,0.19,0.79,1.209,1.141,0.778,1.621,1.18,0.35
0.02,0.2,0.78,1.176,1.1159999999999999,0.775,1.5919999999999999,1.16,0.34
0.02,0.21,0.77,1.1440000000000001,1.091,0.772,1.5619999999999998,1.14,0.32
0.02,0.22,0.76,1.113,1.0659999999999998,0.77,1.534,1.12,0.31
0.02,0.23,0.75,1.082,1.041,0.767,1.505,1.1,0.3
0.02,0.24,0.74,1.051,1.016,0.764,1.4769999999999999,1.09,0.3
0.02,0.25,0.73,1.022,0.991,0.7609999999999999,1.45,1.07,0.29
0.02,0.26,0.72,0.993,0.966,0.758,1.423,1.05,0.28
0.02,0.27,0.71,0.9640000000000001,0.941,0.755,1.3969999999999998,1.03,0.27
0.02,0.28,0.7,0.9359999999999999,0.9159999999999999,0.752,1.371,1.01,0.26
0.02,0.29,0.69,0.909,0.892,0.748,1.3459999999999999,1.0,0.25
0.02,0.3,0.68,0.882,0.867,0.745,1.321,0.98,0.25
0.02,0.31,0.67,0.855,0.843,0.742,1.297,0.96,0.24
0.02,0.32,0.66,0.8290000000000001,0.8190000000000001,0.7390000000000001,1.274,0.94,0.24
0.02,0.33,0.65,0.804,0.795,0.736,1.25,0.93,0.23
0.02,0.34,0.64,0.779,0.772,0.733,1.228,0.91,0.22
0.02,0.35,0.63,0.755,0.748,0.73,1.206,0.89,0.22
0.02,0.36,0.62,0.731,0.725,0.726,1.1840000000000002,0.88,0.22
0.02,0.37,0.61,0.708,0.703,0.723,1.163,0.86,0.21
0.02,0.38,0.6,0.685,0.68,0.72,1.1420000000000001,0.85,0.21
0.02,0.39,0.59,0.662,0.6579999999999999,0.7170000000000001,1.122,0.83,0.21
0.02,0.4,0.58,0.64,0.636,0.715,1.102,0.82,0.2
0.02,0.41,0.57,0.619,0.614,0.7120000000000001,1.082,0.8,0.2
0.02,0.42,0.56,0.598,0.5920000000000001,0.7090000000000001,1.063,0.79,0.2
0.02,0.43,0.55,0.5770000000000001,0.5710000000000001,0.706,1.044,0.77,0.2
0.02,0.44,0.54,0.556,0.55,0.703,1.026,0.76,0.2
0.02,0.45,0.53,0.537,0.529,0.701,1.008,0.75,0.2
